"scenario_label","US$200","US$500","US$1000","US$2034","US$2535","US$3092","US$4000","US$5000"
"A. SQ","495,883 (15%)","646,668 (21%)","696,929 (18%)","722,480 (15%)","727,364 (15%)","730,935 (15%)","734,625 (14%)","737,139 (14%)"
"B. SQ + PrEP (India regimen)","438,586 (0%)","624,236 (5%)","686,119 (9%)","717,578 (11%)","723,591 (12%)","727,988 (12%)","732,532 (12%)","735,626 (13%)"
"I. SQ + intense MDV in owned","502,352 (20%)","656,776 (34%)","708,251 (32%)","734,419 (29%)","739,420 (28%)","743,078 (28%)","746,857 (27%)","749,431 (27%)"
"K. WHO PEP + SQ MDV","526,625 (65%)","658,612 (37%)","702,608 (25%)","724,973 (18%)","729,248 (17%)","732,374 (16%)","735,604 (15%)","737,804 (15%)"
"L. WHO PEP + MDV scale-up all","403,010 (0%)","621,292 (4%)","694,053 (16%)","731,041 (26%)","738,111 (28%)","743,281 (29%)","748,623 (31%)","752,261 (32%)"
