"","scenario","ts_exposures_LL","ts_exposures_Median","ts_exposures_UL","ts_deaths_LL","ts_deaths_Median","ts_deaths_UL","ts_deaths_averted_LL","ts_deaths_averted_Median","ts_deaths_averted_UL","ts_deaths_averted_PEP_LL","ts_deaths_averted_PEP_Median","ts_deaths_averted_PEP_UL","ts_deaths_averted_PrEP_LL","ts_deaths_averted_PrEP_Median","ts_deaths_averted_PrEP_UL","ts_deaths_averted_MDV_LL","ts_deaths_averted_MDV_Median","ts_deaths_averted_MDV_UL","ts_cost_per_year_LL","ts_cost_per_year_Median","ts_cost_per_year_UL","ts_cost_per_life_saved_LL","ts_cost_per_life_saved_Median","ts_cost_per_life_saved_UL","ts_QALYs_gained_LL","ts_QALYs_gained_Median","ts_QALYs_gained_UL","ts_QALYs_gained_discounted_LL","ts_QALYs_gained_discounted_Median","ts_QALYs_gained_discounted_UL","ts_cost_per_QALY_gained_LL","ts_cost_per_QALY_gained_Median","ts_cost_per_QALY_gained_UL","ts_cost_PEP_per_year_LL","ts_cost_PEP_per_year_Median","ts_cost_PEP_per_year_UL","ts_cost_PrEP_LL","ts_cost_PrEP_Median","ts_cost_PrEP_UL","ts_RIG_cost_per_year_LL","ts_RIG_cost_per_year_UL","ts_MDV_campaign_cost_LL","ts_MDV_campaign_cost_Median","ts_MDV_campaign_cost_UL","inc_cost","inc_effect","ICER"
"1","SQ_addIndian_PrEP",22988.675,27530.5,32396.375,284,353,426,12907.925,13857,14801.025,3576.975,4295,5078,49,69,89,8405.93475,9516.685,10638.9655,61516770.3425737,61879221.1244586,62259670.2087643,43490.6052058369,46657.4977677273,50551.0885014692,800291.35,859134,917663.55,699317.253925071,751053.287739077,802784.86492329,778.239918205329,833.53557932678,900.656329480711,25038262.9429361,42102881.3095367,25081378.2751398,15343419.1182906,15353537.3781955,15363590.0818896,17016352.3147047,17068207.7336995,4055355.82859187,4423528.37173748,4809827.29957972,11621554.3684095,72.5,160297.301633234
"2","WHO_PEP_1ml_IM_PrEP",23005.9,27518,32491.75,285.975,353,428.025,12924.925,13861,14797.25,3594.95,4292.5,5071.125,50,69,89,8364.5185,9533.26,10686.506,86415705.7850497,86793631.8780899,87176263.1198579,62449.3873473419,67755.8584558679,74121.9061151243,801345.35,859382,917429.5,700261.039940081,751286.82754966,803003.442015336,1093.64114848862,1182.96638031416,1291.43384257294,18778778.718995,35837655.7172461,18811834.3017351,46495201.9971609,46526290.9016996,46556254.3644056,17016977.2045733,17068977.7414278,4056234.38804077,4426479.57792556,4803368.35758928,36535965.1220408,76.5,477594.315320795
"3","WHO_PEP_and_PrEP",22816.75,27575,32515.375,287,354,429,12950.975,13858,14805.025,3568,4307.5,5102.1,50,69,89,8355.381,9510.735,10659.187,60360861.3545158,60732430.852965,61119302.1650443,42947.0373562853,46339.8148059557,50289.7813948987,802960.45,859196,917911.55,701634.411254508,751068.845970234,803483.832944362,763.30625518734,821.584712945373,889.333350019653,18779238.938616,35837848.4267944,18811028.5193247,20457627.0803969,20471590.8289777,20485318.6101893,17015657.6739103,17068771.9140187,4051691.19326069,4423562.82267795,4803877.41066289,10474764.096916,73.5,142513.797236952
"4","WHO_PEP_and_PrEP_reducedMDVUnowned",27025.775,31873.5,36983.125,336,408,488,12881.9,13813.5,14775.05,4217.975,4969,5779.05,60,80,103,7592.5825,8815.945,9953.8145,59116587.5838787,59486778.8060877,59858453.6081014,42187.0905847894,45505.4516700349,49328.3689449068,798677.8,856437,916053.1,697876.957533439,748940.56435479,800386.974795294,749.421386275386,806.838651362027,871.690055095576,18778923.2225957,35838217.3835689,18811484.5462211,20457816.1151515,20471479.3796523,20484616.1648921,17016806.1069596,17069702.0223713,2798547.9577776,3171956.72390222,3542968.5023911,9229112.05003861,29,318245.24310478
"5","WHO_PEPandPrEP_MDVscaleupUnowned",4164.95,5208.5,6522.075,48,70,94,13204.75,14137.5,15105.025,640.975,813,1028,5,11,18,12382.73625,13319.245,14239.234,86104910.9144335,88262019.0112991,92665464.6020983,60898.9353798593,65652.9320582397,71539.0000078326,818694.5,876525,936511.55,715140.9739948,766289.444468176,818807.262853054,1091.45901336915,1174.17902637832,1276.10349205129,18779407.2775337,35838001.398081,18811023.8055642,20457032.6840167,20471615.97228,20484871.8808079,17015714.8607409,17068694.0085053,29805300.8248263,31944565.0061582,36357467.4090469,38004352.25525,353,107661.05454745
